Seq_ID,CST_11,CST,SilhouetteValues,LactobacillusPercentage,LDominant_CST,LDominant_RelAbundance
G127,I,I,0.8839697533480103,99.97902079563633,LDominant,LDominant
G121,I,I,0.8748410635116786,99.72625869832173,LDominant,LDominant
G125,I,I,0.8849340696929902,99.97704491544877,LDominant,LDominant
G219,I,I,0.15533302130935872,99.86741260550399,LDominant,LDominant
G236,I,I,0.6432555107042423,99.94029596144824,LDominant,LDominant
G133,IV - Mix Anaerobes/Other Lactobacilli,IV,0.02890133752110755,1.4455574558188777,LDepleted,LDepleted
G126,I,I,0.8186232477783107,97.34477242983859,LDominant,LDominant
G120,I,I,0.6835996840564559,97.73430729231151,LDominant,LDominant
G419,III,III,0.557848454272314,99.9335295793372,LDominant,LDominant
G499,III,III,0.6264999135343321,99.95223690495145,LDominant,LDominant
G405,III,III,0.5570893908182302,99.95079042873839,LDominant,LDominant
G291,I,I,0.8730272762772138,99.69424420291473,LDominant,LDominant
G129,I,I,0.8846856430539026,99.97532448304793,LDominant,LDominant
G565,V - Mix L.iners,V,0.6120060304646386,99.9721226602947,LDominant,LDominant
G560,V - Mix L.iners,V,0.6807924446938703,99.89294999235358,LDominant,LDominant
G566,III,III,0.7354815515748054,99.9751068331743,LDominant,LDominant
G507,I,I,0.8726993344518762,99.99679425530552,LDominant,LDominant
G426,I,I,0.861514435390009,99.96599961142412,LDominant,LDominant
G532,I,I,0.8682363385801606,100.0,LDominant,LDominant
G529,I,I,0.8744812841765264,99.9863057470215,LDominant,LDominant
G441,I,I,0.8396144756378544,99.77019041365726,LDominant,LDominant
G409,I,I,0.8086875694097138,99.8157625383828,LDominant,LDominant
G386,I,I,0.8148441658875122,97.33667292840742,LDominant,LDominant
G369,I,I,0.8768593661631979,99.82541899441341,LDominant,LDominant
G364,I,I,0.8462426042298805,98.93168535019642,LDominant,LDominant
G134,I,I,0.8632584387532372,99.61484098939928,LDominant,LDominant
G240,II,II,0.48530425657537934,92.14435585396559,LDominant,LDominant
G324,IV - Mix Anaerobes/Other Lactobacilli,VII,-0.1862082013395231,97.00092635479388,LDominant,LDominant
G320,V,V,0.5848027254381641,99.25090197517275,LDominant,LDominant
G015,I,I,0.8370886326334885,98.41642581888247,LDominant,LDominant
G021,I,I,0.8838443537537272,99.9872351289252,LDominant,LDominant
G045,I,I,0.8783753571137797,99.92984097287184,LDominant,LDominant
G275,IV - Gardnerella + L. gasseri,IV,0.625402830489551,41.17479800014217,LDepleted,LDepleted
G212,IV - Gardnerella + L. gasseri,IV,0.6013129966815285,55.47191822676518,LDepleted,LDepleted
G206,IV - Gardnerella + L. gasseri,IV,0.6498126231401848,45.731151426748106,LDepleted,LDepleted
G513,I,I,0.70024941758177,99.93957127409197,LDominant,LDominant
G401,I,I,0.8229737436854423,99.968534906588,LDominant,LDominant
G411,I,I,0.7460943134498812,99.96800255979522,LDominant,LDominant
G216,III,III,0.6671817755041193,98.16847256204125,LDominant,LDominant
G071,III,III,0.721646496754727,99.74477958236659,LDominant,LDominant
G173,III,III,0.7255090671751663,99.94331708423081,LDominant,LDominant
G564,I,I,0.8820563902394356,99.95540632705524,LDominant,LDominant
G510,I,I,0.8850802445669158,99.99403145423618,LDominant,LDominant
G548,I,I,0.8837914565216335,99.97301880974406,LDominant,LDominant
G308,III,III,0.3760556655333048,99.48570493489493,LDominant,LDominant
G296,III,III,0.32370697945818144,95.2805488350512,LDominant,LDominant
G319,III,III,0.3014155531965334,96.27045802425526,LDominant,LDominant
G551,III,III,0.2767650913896332,66.7177326694753,LDominant,LDepleted
G552,I,I,0.8426931401569148,99.98279569892473,LDominant,LDominant
